#Filename       start    end       CORR  B     Seq   Keep?  PUMP  Astart  Aend   Bstart Bend   ChUpdate   Gas    B_Servo   HV    HVS   OTop  MTop  MBot  OBot   Others
35201-35233     35201    35233     4    -1     6     1      35    50      70     240    270    1          55     1         06    05    6     12    15    14
35237-35515     35237    35515     2    -1     6     1      35    50      70     240    270    1          70     1         10    05    6     12    15    14
35516-35550     35516    35550     4    -1     6     1      35    50      70     240    270    1          70     1         10    05    6     12    15    14
35556-35829     35556    35829     2    -1     6     1      35    50      70     240    270    1          70     1         06    30    6     12    15    14
35830-35862     35830    35862     4    -1     6     1      35    50      70     240    270    1          70     1         06    30    6     12    15    14
35867-36148     35867    36148     2    -1     6     1      35    50      70     240    270    1          70     1         10    30    6     12    15    14
36149-36181     36149    36181     4    -1     6     1      35    50      70     240    270    1          70     1         10    30    6     12    15    14
36185-36217     36185    36217     4    -1     6     1      35    50      70     240    270    1          70     1         06    30    6     12    15    14
36218-36496     36218    36496     2    -1     6     1      35    50      70     240    270    1          70     1         06    30    6     12    15    14
36500-36797     36500    36797     2    -1     6     1      35    50      70     240    270    1          60     1         10    30    6     12    15    14
36798-36830     36798    36830     4    -1     6     1      35    50      70     240    270    1          70     1         10    30    6     12    15    14
37241-37311     37241    37311     2    -1     7     0      35    55      70     240    270    1          60     1         06    30    6     15    12    14
37445-37490     37445    37490     2    -1     7     0      35    55      70     240    270    1          60     1         06    30    6     15    12    14
37491-37523     37491    37523     4    -1     7     0      35    55      70     240    270    1          60     1         06    30    6     15    12    14
37534-37819     37534    37819     2    -1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
37821-38123     37821    38123     2    -1     7     0      35    50      70     240    270    1          60     1         10    30    6     15    12    14
38124-38174     38124    38174     4    -1     7     0      35    50      70     240    270    1          60     1         10    30    6     15    12    14
38178-38384     38178    38384     2    -1     7     0      35    50      70     240    270    1          60     1         06    05    6     15    12    14
38385-38417     38385    38417     4    -1     7     0      35    50      70     240    270    1          60     1         06    05    6     15    12    14
38427-38689     38427    38689     2    -1     7     0      35    50      70     240    270    1          60     1         10    05    6     15    12    14
38690-38724     38690    38724     4    -1     7     0      35    50      70     240    270    1          60     1         10    05    6     15    12    14
38728-38987     38728    38987     2    -1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
38988-39020     38988    39020     4    -1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
39031-39300     39031    39300     2    -1     7     0      35    50      70     240    270    1          60     1         10    30    6     15    12    14
39301-39333     39301    39333     4    -1     7     0      35    50      70     240    270    1          60     1         10    30    6     15    12    14
39335-39367     39335    39367     4    -1     7     0      35    50      70     240    270    1          60     1         06    05    6     15    12    14
39368-39668     39368    39668     2    -1     7     0      35    50      70     240    270    1          60     1         06    05    6     15    12    14
39674-39969     39674    39969     2    -1     7     0      35    50      70     240    270    1          60     1         10    05    6     15    12    14
39970-40002     39970    40002     4    -1     7     0      35    50      70     240    270    1          60     1         10    05    6     15    12    14
40006-40252     40006    40252     2     1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
40270-40302     40270    40302     4     1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
40306-40552     40306    40552     2     1     7     0      35    50      70     240    270    1          60     1         10    30    6     15    12    14
40553-40585     40553    40585     4     1     7     0      35    50      70     240    270    1          60     1         10    30    6     15    12    14
40595-40860     40595    40860     2     1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
40894-41116     40894    41116     2     1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
41145-41372     41145    41372     2     1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
41405-41668     41405    41668     2     1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
41673-41987     41673    41987     2     1     7     0      35    50      70     240    270    1          60     1         10    30    6     15    12    14
41991-42286     41991    42286     4     1     7     0      35    50      70     240    270    1          60     1         06    30    6     15    12    14
42293-42561     42293    42561     2     1     7     0      35    50      70     240    270    1          80     1         06    30    6     15    12    14
42641-42927     42641    42927     2     1     7     0      35    50      70     240    270    1          80     1         06    30    6     15    12    14
42928-42960     42928    42960     4     1     7     0      35    50      70     240    270    1          70     1         06    30    6     15    12    14
42965-43235     42965    43235     2     1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
43235-43267     43235    43267     4     1     7     0      35    50      70     240    270    1          70     1         10    30    6     15    12    14
43273-43305     43273    43305     4     1     7     0      35    50      70     240    270    1          70     1         06    05    6     15    12    14
43306-43585     43306    43585     2     1     7     0      35    50      70     240    270    1          80     1         06    05    6     15    12    14
43588-43964     43588    43964     2     1     7     0      35    50      70     240    270    1          80     1         10    05    6     15    12    14
43965-43997     43965    43997     4     1     7     0      35    50      70     240    270    1          70     1         10    05    6     15    12    14
44001-44293     44001    44293     2    -1     7     0      35    50      70     240    270    1          80     1         06    30    6     15    12    14
44294-44326     44294    44326     4    -1     7     0      35    50      70     240    270    1          70     1         06    30    6     15    12    14
44330-44600     44330    44600     2    -1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
44601-44633     44601    44633     4    -1     7     0      35    50      70     240    270    1          70     1         10    30    6     15    12    14
44659-44913     44659    44913     2    -1     7     0      35    50      70     240    270    1          80     1         06    05    6     15    12    14
44914-44949     44914    44949     4    -1     7     0      35    50      70     240    270    1          70     1         06    05    6     15    12    14
44965-45220     44965    45220     2    -1     7     0      35    50      70     240    270    1          80     1         10    05    6     15    12    14
45221-45253     45221    45253     4    -1     7     0      35    50      70     240    270    1          70     1         10    05    6     15    12    14
45280-45312     45280    45312     4     1     7     0      35    50      70     240    270    1          70     1         06    30    6     15    12    14
45313-45590     45313    45590     2     1     7     0      35    50      70     240    270    1          80     1         06    30    6     15    12    14
45592-45916     45592    45916     2     1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
45919-46165     45919    46165     2     1     7     0      35    50      70     240    270    1          80     1         06    05    6     15    12    14
46166-46198     46166    46198     4     1     7     0      35    50      70     240    270    1          80     1         06    05    6     15    12    14
46199-46231     46199    46231     4     1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
46234-46478     46234    46478     2     1     7     0      35    50      70     240    270    1          80     1         10    05    6     15    12    14
46479-46511     46479    46511     4    -1     7     0      35    50      70     240    270    1          80     1         10    05    6     15    12    14
46520-46791     46520    46791     2    -1     7     0      35    50      70     240    270    1          80     1         06    30    6     15    12    14
46792-46824     46792    46824     4    -1     7     0      35    50      70     240    270    1          80     1         06    30    6     15    12    14
46829-47096     46829    47096     2    -1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
47097-47129     47097    47129     4    -1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
47134-47422     47134    47422     2    -1     7     0      35    50      70     240    270    1          80     1         06    05    6     15    12    14
47423-47455     47423    47455     4    -1     7     0      35    50      70     240    270    1          80     1         06    05    6     15    12    14
47463-47495     47463    47495     4    -1     7     0      35    50      70     240    270    1          80     1         10    05    6     15    12    14
47496-47787     47496    47787     2    -1     7     0      35    50      70     240    270    1          80     1         10    05    6     15    12    14
47793-48100     47793    48100     2    -1     7     0      35    50      70     240    270    1          80     1         06    30    6     15    12    14
48105-48364     48105    48364     2    -1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
48368-48651     48368    48651     2     1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
48656-48688     48656    48688     4     1     7     0      35    50      70     240    270    1          80     1         10    30    6     15    12    14
